Marca temporal,¿Cuál es tu género?,¿Cuál es tu edad?,¿Compraste online alguna vez?,"En una escala del 1 al 10, siendo 1 casi nunca o nulo y 10 mucho, ¿Con que frecuencia realizas una compra online?",¿Cuál de estas opciones elegís a la hora de comprar?,"Si soles comprar frecuentemente, ¿Cuál es la principal razón?","Si no soles comprar frecuentemente, ¿Cuál es la principal razón?","En una escala del 1 al 10, siendo 1 una experiencia negativa y 10 positiva, ¿Qué tan fácil y práctico te resulta este método de consumo? ",¿A través de que página o plataforma realizas la compra?,¿Qué tipo de producto consumís más online?,En caso de que compres online ¿En qué año compraste más?
27/5/2022 14:54:59,Mujer,18 - 25,Sí,8,"Empresas, Emprendedores, Por plataformas de venta online (MercadoLibre, etc)",Comodidad,,8,"Mercado libre, Sitio web propio","Ropa, Alimentos, Productos para el hogar",En el 2020
27/5/2022 14:59:22,Mujer,18 - 25,Sí,2,"Por plataformas de venta online (MercadoLibre, etc)",,Prefiero ver el producto antes de comprar,5,Mercado libre,"Electrodomésticos, Tecnología, Educación",Entre el 2021 - 2022
27/5/2022 15:02:19,Mujer,18 - 25,Sí,8,Emprendedores,Comodidad,,7,Sitio web propio,Ropa,Entre el 2021 - 2022
27/5/2022 15:13:10,Mujer,18 - 25,Sí,5,"Emprendedores, Por plataformas de venta online (MercadoLibre, etc)",Comodidad,Prefiero ver el producto antes de comprar,8,"Mercado libre, Instagram, Sitio web propio","Ropa, Accesorios, Cosméticos y productos de farmacia",Entre el 2021 - 2022
27/5/2022 15:33:35,Mujer,18 - 25,Sí,3,"Por plataformas de venta online (MercadoLibre, etc)",Comodidad,Prefiero ver el producto antes de comprar,7,"Mercado libre, Sitio web propio","Ropa, Calzado, Cosméticos y productos de farmacia, Tecnología",En el 2020
27/5/2022 15:41:52,Mujer,18 - 25,Sí,6,"Emprendedores, Por plataformas de venta online (MercadoLibre, etc)",Ahorro tiempo,,8,"Mercado libre, Sitio web propio","Ropa, Electrodomésticos",En el 2020
27/5/2022 15:52:02,Varón,18 - 25,Sí,8,"Empresas, Por plataformas de venta online (MercadoLibre, etc)",Comodidad,,8,"Mercado libre, Sitio web propio","Alimentos, Tecnología, Educación",Entre el 2021 - 2022
27/5/2022 16:33:38,Varón,18 - 25,Sí,4,"Empresas, Por plataformas de venta online (MercadoLibre, etc)",Comodidad,,7,Facebook,Cosméticos y productos de farmacia,En el 2020
27/5/2022 18:02:14,Mujer,18 - 25,Sí,3,"Emprendedores, Por plataformas de venta online (MercadoLibre, etc)",Comodidad,,5,"Mercado libre, Sitio web propio","Ropa, Alimentos, Productos para la actividad física",Entre el 2021 - 2022
27/5/2022 18:18:21,No binario,18 - 25,Sí,3,"Emprendedores, Por plataformas de venta online (MercadoLibre, etc)",,Prefiero acercarme al comercio y contar con la opinión de un vendedor,8,"WhatsApp, Mercado libre, Instagram, Steam","Juegos y juguetes, Productos para la actividad física, Accesorios, Cosméticos y productos de farmacia, Tecnología",Entre el 2021 - 2022
30/5/2022 12:04:34,Mujer,18 - 25,Sí,4,"Empresas, Emprendedores",Comodidad,Verificar la calidad,8,"Mercado libre, Instagram, Sitio web propio",Ropa,En el 2020
30/5/2022 12:04:48,Mujer,18 - 25,Sí,6,"Por plataformas de venta online (MercadoLibre, etc)",Comodidad,,10,Mercado libre,"Productos para el hogar, Electrodomésticos, Accesorios, Cosméticos y productos de farmacia",En el 2020
30/5/2022 12:05:59,Mujer,18 - 25,Sí,7,"Empresas, Emprendedores, Por plataformas de venta online (MercadoLibre, etc)",Ahorro tiempo,,9,"Mercado libre, Marketplace, Instagram, Sitio web propio","Ropa, Alimentos, Productos para el hogar, Productos para la actividad física, Accesorios, Cosméticos y productos de farmacia, Servicios",En el 2020
30/5/2022 12:07:23,Varón,18 - 25,Sí,5,"Emprendedores, Conocidos con pequeños emprendimientos (familiar, amigos)",Mayor disponibilidad de stock online,,8,"WhatsApp, Mercado libre, Sitio web propio","Ropa, Calzado, Tecnología",En el 2020
30/5/2022 12:07:36,Mujer,17 o menos,Sí,7,"Conocidos con pequeños emprendimientos (familiar, amigos)",Comodidad,Prefiero ver el producto antes de comprar,7,Instagram,Ropa,En el 2020
30/5/2022 12:07:59,Varón,18 - 25,Sí,7,"Empresas, Emprendedores, Conocidos con pequeños emprendimientos (familiar, amigos), Por plataformas de venta online (MercadoLibre, etc)",Posibilidad de hacerlo en cualquier momento y lugar,,7,"Mercado libre, Instagram, Sitio web propio","Ropa, Alimentos, Productos para el hogar, Servicios",Entre el 2021 - 2022
30/5/2022 12:08:16,Varón,17 o menos,Sí,9,"Empresas, Por plataformas de venta online (MercadoLibre, etc)",Mayor disponibilidad de stock online,,9,Sitio web propio,Ropa,Entre el 2021 - 2022
